step,rank,mode,allreduce_ms,dma_ms,overlap_ms,stall_ms,wall_s
66,2,baseline,25.9202,25.9132,25.9132,0.0,0.02602
66,3,baseline,25.8552,25.8234,25.8234,0.0,0.025948
67,0,baseline,21.383,26.4592,21.383,0.0,0.026564
67,1,baseline,25.0197,26.1255,25.0197,0.0,0.026231
67,2,baseline,25.7967,25.987,25.7967,0.0,0.026116
67,3,baseline,25.9335,25.8907,25.8907,0.0,0.026002
68,0,baseline,20.6977,26.5396,20.6977,0.0,0.026652
68,1,baseline,24.7134,26.472,24.7134,0.0,0.026583
68,2,baseline,25.6246,26.4714,25.6246,0.0,0.026605
68,3,baseline,25.3897,25.774,25.3897,0.0,0.025896
69,0,baseline,20.3641,26.6522,20.3641,0.0,0.026774
69,1,baseline,24.4071,26.3492,24.4071,0.0,0.02647
69,2,baseline,25.7799,26.1211,25.7799,0.0,0.02622
69,3,baseline,26.5352,26.0044,26.0044,0.0,0.026567
70,0,baseline,21.0505,26.4349,21.0505,0.0,0.026545
70,1,baseline,25.8295,26.0765,25.8295,0.0,0.026203
70,2,baseline,27.4205,25.7575,25.7575,0.0,0.027446
70,3,baseline,27.0055,25.0864,25.0864,0.0,0.027038
71,0,baseline,21.2518,26.2654,21.2518,0.0,0.026387
71,1,baseline,26.3736,26.2658,26.2658,0.0,0.026399
71,2,baseline,26.7127,25.8802,25.8802,0.0,0.026738
71,3,baseline,26.3992,25.7117,25.7117,0.0,0.026426
72,0,baseline,21.8791,26.4278,21.8791,0.0,0.026541
72,1,baseline,26.5044,26.0361,26.0361,0.0,0.026531
72,2,baseline,26.5731,25.6456,25.6456,0.0,0.026599
72,3,baseline,27.5129,25.1209,25.1209,0.0,0.027539
73,0,baseline,21.8044,26.2879,21.8044,0.0,0.026392
73,1,baseline,26.4773,26.1923,26.1923,0.0,0.026503
73,2,baseline,26.3395,25.8809,25.8809,0.0,0.026369
73,3,baseline,26.0043,25.6225,25.6225,0.0,0.026031
74,0,baseline,21.1489,26.3511,21.1489,0.0,0.026457
74,1,baseline,25.9374,26.249,25.9374,0.0,0.026353
74,2,baseline,25.9986,26.0893,25.9986,0.0,0.026197
74,3,baseline,25.8614,25.8366,25.8366,0.0,0.025947
75,0,baseline,21.1863,26.3203,21.1863,0.0,0.026427
75,1,baseline,26.2764,26.0594,26.0594,0.0,0.026301
75,2,baseline,26.6139,25.9356,25.9356,0.0,0.026639
75,3,baseline,26.6017,25.6767,25.6767,0.0,0.026632
76,0,baseline,21.7888,26.152,21.7888,0.0,0.026263
76,1,baseline,26.6451,25.8124,25.8124,0.0,0.026672
76,2,baseline,26.5483,25.7788,25.7788,0.0,0.026574
76,3,baseline,26.9912,25.4086,25.4086,0.0,0.027022
77,0,baseline,21.4508,26.3183,21.4508,0.0,0.026439
77,1,baseline,25.7563,26.1856,25.7563,0.0,0.026316
77,2,baseline,25.6365,25.8898,25.6365,0.0,0.026005
77,3,baseline,25.714,25.8098,25.714,0.0,0.025927
78,0,baseline,21.3758,26.2924,21.3758,0.0,0.026397
78,1,baseline,26.1917,26.2288,26.1917,0.0,0.026334
78,2,baseline,26.4809,25.7925,25.7925,0.0,0.026507
78,3,baseline,25.9729,25.6902,25.6902,0.0,0.026007
79,0,baseline,21.2572,26.2335,21.2572,0.0,0.026336
79,1,baseline,26.2143,26.2127,26.2127,0.0,0.026316
79,2,baseline,26.3498,25.7417,25.7417,0.0,0.026375
79,3,baseline,26.153,25.7228,25.7228,0.0,0.026182
80,0,baseline,21.8049,26.2582,21.8049,0.0,0.026365
80,1,baseline,26.4552,25.9343,25.9343,0.0,0.026483
80,2,baseline,26.6802,25.7822,25.7822,0.0,0.026707
80,3,baseline,27.5455,25.2779,25.2779,0.0,0.027577
81,0,baseline,22.0206,26.2098,22.0206,0.0,0.026316
81,1,baseline,26.602,25.7126,25.7126,0.0,0.026628
81,2,baseline,26.4564,26.0179,26.0179,0.0,0.026482
81,3,baseline,26.0974,25.5297,25.5297,0.0,0.026127
82,0,baseline,21.6772,26.2449,21.6772,0.0,0.026353
82,1,baseline,25.809,25.9511,25.809,0.0,0.026056
82,2,baseline,25.4913,26.1524,25.4913,0.0,0.026258
82,3,baseline,26.0664,25.8642,25.8642,0.0,0.026096
83,0,baseline,21.2656,26.3453,21.2656,0.0,0.026472
83,1,baseline,25.9781,26.2306,25.9781,0.0,0.026331
83,2,baseline,25.7779,26.0548,25.7779,0.0,0.026173
83,3,baseline,26.2967,25.5161,25.5161,0.0,0.026327
84,0,baseline,21.3141,26.2302,21.3141,0.0,0.026339
84,1,baseline,26.3352,26.1601,26.1601,0.0,0.026366
84,2,baseline,26.3619,25.9925,25.9925,0.0,0.026389
84,3,baseline,26.6204,25.6004,25.6004,0.0,0.026651
85,0,baseline,21.8213,26.3023,21.8213,0.0,0.026423
85,1,baseline,26.4905,25.7776,25.7776,0.0,0.026521
85,2,baseline,26.5001,25.584,25.584,0.0,0.026527
85,3,baseline,26.5523,25.3552,25.3552,0.0,0.026583
86,0,baseline,21.4498,26.4366,21.4498,0.0,0.026548
86,1,baseline,25.9874,26.2958,25.9874,0.0,0.026402
86,2,baseline,25.9761,26.1976,25.9761,0.0,0.026303
86,3,baseline,26.0408,25.7586,25.7586,0.0,0.026073
87,0,baseline,22.1538,26.3715,22.1538,0.0,0.026478
87,1,baseline,26.7456,25.7664,25.7664,0.0,0.026771
87,2,baseline,26.8859,25.6132,25.6132,0.0,0.026914
87,3,baseline,27.0294,25.3984,25.3984,0.0,0.027056
88,0,baseline,21.65,26.3004,21.65,0.0,0.026411
88,1,baseline,26.1903,26.2731,26.1903,0.0,0.026383
88,2,baseline,26.1269,26.0232,26.0232,0.0,0.02616
88,3,baseline,25.7515,25.7545,25.7515,0.0,0.025905
89,0,baseline,21.3119,26.2807,21.3119,0.0,0.026389
89,1,baseline,26.3126,26.1582,26.1582,0.0,0.026338
89,2,baseline,26.4768,25.9965,25.9965,0.0,0.026502
89,3,baseline,26.3334,25.5898,25.5898,0.0,0.026362
90,0,baseline,21.4883,26.2806,21.4883,0.0,0.026388
90,1,baseline,26.1615,26.0531,26.0531,0.0,0.026187
90,2,baseline,26.1509,25.9636,25.9636,0.0,0.026177
90,3,baseline,26.0157,25.4295,25.4295,0.0,0.026044
91,0,baseline,21.2209,26.2924,21.2209,0.0,0.026399
91,1,baseline,26.3059,26.11,26.11,0.0,0.026334
91,2,baseline,26.3618,25.9865,25.9865,0.0,0.026387
91,3,baseline,26.1977,25.2695,25.2695,0.0,0.026226
92,0,baseline,21.286,26.2891,21.286,0.0,0.026395
92,1,baseline,26.2586,26.0847,26.0847,0.0,0.026284
92,2,baseline,26.1732,25.9858,25.9858,0.0,0.026205
92,3,baseline,26.3921,25.4314,25.4314,0.0,0.026424
93,0,baseline,21.2645,26.2752,21.2645,0.0,0.026398
93,1,baseline,26.3355,26.1485,26.1485,0.0,0.02636
93,2,baseline,26.3304,25.9206,25.9206,0.0,0.026356
93,3,baseline,26.0977,25.6204,25.6204,0.0,0.026128
94,0,baseline,21.1581,26.3232,21.1581,0.0,0.026431
94,1,baseline,26.3819,26.184,26.184,0.0,0.026407
94,2,baseline,26.4202,25.8846,25.8846,0.0,0.026446
94,3,baseline,26.3171,25.5569,25.5569,0.0,0.026347
95,0,baseline,20.9796,26.4904,20.9796,0.0,0.026597
95,1,baseline,26.4672,26.2573,26.2573,0.0,0.026495
95,2,baseline,26.5084,25.9428,25.9428,0.0,0.026535
95,3,baseline,26.9835,25.2954,25.2954,0.0,0.027011
96,0,baseline,21.1623,26.3344,21.1623,0.0,0.026441
96,1,baseline,26.2914,26.203,26.203,0.0,0.026318
96,2,baseline,26.0934,26.015,26.015,0.0,0.026123
96,3,baseline,26.2287,25.4628,25.4628,0.0,0.026256
97,0,baseline,21.5967,26.2516,21.5967,0.0,0.026354
97,1,baseline,26.7801,25.9143,25.9143,0.0,0.026805
97,2,baseline,26.9488,26.183,26.183,0.0,0.026975
97,3,baseline,26.8069,25.5288,25.5288,0.0,0.026833
98,0,baseline,21.5681,26.2911,21.5681,0.0,0.026397
98,1,baseline,26.4307,26.2777,26.2777,0.0,0.026458
98,2,baseline,26.3807,25.932,25.932,0.0,0.026406
98,3,baseline,26.5369,26.0691,26.0691,0.0,0.026953
99,0,baseline,21.2848,26.4135,21.2848,0.0,0.02652
99,1,baseline,25.8101,26.1947,25.8101,0.0,0.026302
99,2,baseline,25.4506,26.1889,25.4506,0.0,0.026293
99,3,baseline,25.4464,25.9397,25.4464,0.0,0.026587
100,0,baseline,21.7902,26.2199,21.7902,0.0,0.026319
100,1,baseline,26.4815,26.2419,26.2419,0.0,0.026509
100,2,baseline,26.4064,25.7219,25.7219,0.0,0.026434
