step,latency_ms,algbw_GBs,busbw_GBs,timestamp
2,30.6521,3.0791,2.6942,1777503939.059
2,39.8398,2.369,2.0729,1777503939.119
2,13.0312,7.2426,6.3373,1777503939.2
2,41.3979,2.2798,1.9948,1777503939.262
2,199.6813,5.2618,4.604,1777503939.464
3,10.2871,9.1746,8.0278,1777503940.19
3,12.9242,7.3026,6.3897,1777503940.255
3,10.7872,8.7493,7.6556,1777503940.303
3,19.8873,4.7458,4.1525,1777503940.364
3,13.9791,6.7515,5.9076,1777503940.45
3,22.9739,4.1081,3.5946,1777503940.493
3,17.5744,5.3703,4.699,1777503940.558
3,19.2285,4.9083,4.2948,1777503940.644
3,45.6269,2.0685,1.81,1777503940.705
3,23.5808,4.0024,3.5021,1777503940.831
3,35.2284,2.6791,2.3442,1777503940.876
3,35.0113,2.6957,2.3587,1777503940.989
3,34.3049,2.7512,2.4073,1777503941.115
3,19.9524,4.7302,4.139,1777503941.156
3,17.749,5.3175,4.6528,1777503941.258
3,45.4935,2.0746,1.8153,1777503941.371
3,173.7562,6.0468,5.291,1777503941.547
4,13.2549,7.1204,6.2303,1777503942.324
4,22.1673,4.2576,3.7254,1777503942.386
4,80.6122,1.1708,1.0244,1777503942.499
4,31.5295,2.9934,2.6192,1777503942.579
4,23.5776,4.0029,3.5026,1777503942.652
4,55.52,1.6999,1.4874,1777503942.744
4,51.1307,1.8459,1.6151,1777503942.812
4,15.3905,6.1324,5.3658,1777503942.857
4,17.0598,5.5323,4.8408,1777503942.904
4,19.4709,4.8472,4.2413,1777503942.997
4,31.3712,3.0085,2.6324,1777503943.1
4,20.5896,4.5839,4.0109,1777503943.161
4,49.5065,1.9064,1.6681,1777503943.248
4,18.7941,5.0218,4.3941,1777503943.346
4,20.7096,4.5573,3.9876,1777503943.407
4,25.5785,3.6898,3.2286,1777503943.435
4,191.5744,5.4844,4.7989,1777503943.629
5,19.208,4.9136,4.2994,1777503944.407
5,24.0443,3.9253,3.4346,1777503944.469
5,19.572,4.8222,4.2194,1777503944.516
5,47.8519,1.9723,1.7258,1777503944.632
5,16.9352,5.573,4.8764,1777503944.684
5,21.4413,4.4018,3.8516,1777503944.752
5,55.6664,1.6955,1.4835,1777503944.856
5,15.938,5.9217,5.1815,1777503944.936
5,48.253,1.9559,1.7114,1777503945.036
5,17.5627,5.3739,4.7021,1777503945.132
5,20.4924,4.6056,4.0299,1777503945.212
5,53.7451,1.7561,1.5366,1777503945.292
5,28.1215,3.3561,2.9366,1777503945.38
5,16.7594,5.6315,4.9275,1777503945.425
5,17.717,5.3271,4.6612,1777503945.487
5,57.448,1.6429,1.4375,1777503945.547
5,201.5501,5.213,4.5614,1777503945.751
6,33.222,2.8409,2.4858,1777503946.47
6,16.392,5.7577,5.038,1777503946.499
6,20.522,4.599,4.0241,1777503946.542
6,16.0494,5.8806,5.1455,1777503946.642
6,42.5449,2.2184,1.9411,1777503946.72
6,19.5729,4.822,4.2192,1777503946.78
6,18.8869,4.9971,4.3725,1777503946.828
6,11.9122,7.923,6.9326,1777503946.876
6,42.2158,2.2357,1.9562,1777503947.009
6,19.593,4.817,4.2149,1777503947.072
6,21.6735,4.3546,3.8103,1777503947.115
6,47.5489,1.9849,1.7368,1777503947.182
6,18.8918,4.9958,4.3713,1777503947.272
6,20.9318,4.5089,3.9453,1777503947.324
6,23.731,3.9771,3.4799,1777503947.415
6,48.8834,1.9307,1.6894,1777503947.467
6,130.6631,8.0411,7.036,1777503947.6
7,26.9482,3.5023,3.0645,1777503948.362
7,29.4606,3.2036,2.8031,1777503948.424
7,8.5133,11.0862,9.7004,1777503948.468
7,48.8229,1.9331,1.6915,1777503948.583
7,17.1977,5.4879,4.8019,1777503948.632
7,17.6436,5.3493,4.6806,1777503948.729
7,46.1019,2.0472,1.7913,1777503948.804
7,43.2169,2.1839,1.9109,1777503948.87
7,16.0015,5.8982,5.1609,1777503948.929
7,16.2134,5.8211,5.0935,1777503948.996
7,47.1471,2.0018,1.7516,1777503949.104
7,19.9828,4.7231,4.1327,1777503949.18
7,15.8153,5.9676,5.2217,1777503949.216
7,63.4669,1.4871,1.3012,1777503949.35
