step,rank,mode,allreduce_ms,dma_ms,overlap_ms,stall_ms,wall_s
54,1,baseline,26.2915,25.8082,25.8082,0.0,0.026323
54,2,baseline,26.1932,26.026,26.026,0.0,0.026219
54,3,baseline,26.4356,25.6485,25.6485,0.0,0.026468
55,0,baseline,21.7499,26.2392,21.7499,0.0,0.026371
55,1,baseline,26.1109,25.7545,25.7545,0.0,0.026139
55,2,baseline,26.0313,25.818,25.818,0.0,0.026062
55,3,baseline,26.4663,25.6688,25.6688,0.0,0.026494
56,0,baseline,21.1351,26.3914,21.1351,0.0,0.026523
56,1,baseline,25.719,26.0346,25.719,0.0,0.026152
56,2,baseline,25.6359,26.1,25.6359,0.0,0.026298
56,3,baseline,25.8711,25.7062,25.7062,0.0,0.025898
57,0,baseline,21.4396,26.1449,21.4396,0.0,0.026281
57,1,baseline,26.4886,25.878,25.878,0.0,0.026526
57,2,baseline,26.4945,25.9192,25.9192,0.0,0.026529
57,3,baseline,26.2806,25.4524,25.4524,0.0,0.026307
58,0,baseline,20.9284,26.2373,20.9284,0.0,0.026347
58,1,baseline,26.0545,25.9197,25.9197,0.0,0.026203
58,2,baseline,26.0112,25.9652,25.9652,0.0,0.026114
58,3,baseline,26.1504,25.5471,25.5471,0.0,0.026176
59,0,baseline,21.9934,26.3691,21.9934,0.0,0.02649
59,1,baseline,27.0686,25.6133,25.6133,0.0,0.0272
59,2,baseline,27.1479,26.2362,26.2362,0.0,0.027176
59,3,baseline,27.7695,24.9577,24.9577,0.0,0.027795
60,0,baseline,21.3525,26.2584,21.3525,0.0,0.026374
60,1,baseline,25.4747,26.0217,25.4747,0.0,0.026527
60,2,baseline,25.5666,25.8351,25.5666,0.0,0.026035
60,3,baseline,25.5199,25.7672,25.5199,0.0,0.025879
61,0,baseline,20.7846,26.4291,20.7846,0.0,0.026547
61,1,baseline,24.9825,26.0214,24.9825,0.0,0.026138
61,2,baseline,25.0623,26.0047,25.0623,0.0,0.026398
61,3,baseline,24.8979,25.7621,24.8979,0.0,0.025871
62,0,baseline,21.3694,26.4171,21.3694,0.0,0.026527
62,1,baseline,26.3441,26.1658,26.1658,0.0,0.026371
62,2,baseline,26.682,25.9375,25.9375,0.0,0.026709
62,3,baseline,26.2975,25.5274,25.5274,0.0,0.026323
63,0,baseline,21.7797,26.4422,21.7797,0.0,0.026573
63,1,baseline,26.3949,25.5347,25.5347,0.0,0.026421
63,2,baseline,26.5477,25.7828,25.7828,0.0,0.026579
63,3,baseline,27.7532,25.0659,25.0659,0.0,0.027779
64,0,baseline,21.9168,26.1163,21.9168,0.0,0.026229
64,1,baseline,26.6245,25.8814,25.8814,0.0,0.026656
64,2,baseline,26.426,25.9346,25.9346,0.0,0.026453
64,3,baseline,26.0473,25.7867,25.7867,0.0,0.026074
65,0,baseline,21.2553,26.3172,21.2553,0.0,0.026429
65,1,baseline,24.9323,26.2564,24.9323,0.0,0.026386
65,2,baseline,24.6046,25.7906,24.6046,0.0,0.025951
65,3,baseline,25.7221,25.8655,25.7221,0.0,0.02597
66,0,baseline,21.2149,26.2888,21.2149,0.0,0.026406
66,1,baseline,25.5654,26.2567,25.5654,0.0,0.026433
66,2,baseline,25.5127,25.8832,25.5127,0.0,0.026322
66,3,baseline,26.1609,25.5281,25.5281,0.0,0.026188
67,0,baseline,21.487,26.2633,21.487,0.0,0.026375
67,1,baseline,26.2355,26.1726,26.1726,0.0,0.026297
67,2,baseline,26.6167,26.0665,26.0665,0.0,0.026661
67,3,baseline,26.3321,25.5997,25.5997,0.0,0.026652
68,0,baseline,21.3256,26.3982,21.3256,0.0,0.026534
68,1,baseline,25.6655,26.0902,25.6655,0.0,0.026231
68,2,baseline,25.2692,25.9966,25.2692,0.0,0.026115
68,3,baseline,25.9111,25.8065,25.8065,0.0,0.026132
69,0,baseline,21.2913,26.3055,21.2913,0.0,0.026411
69,1,baseline,26.123,26.19,26.123,0.0,0.026382
69,2,baseline,26.1746,26.0052,26.0052,0.0,0.026289
69,3,baseline,26.3904,25.5609,25.5609,0.0,0.026419
70,0,baseline,21.3898,26.3789,21.3898,0.0,0.026496
70,1,baseline,26.1055,26.1167,26.1055,0.0,0.026228
70,2,baseline,25.6522,26.0911,25.6522,0.0,0.026214
70,3,baseline,26.1178,25.6443,25.6443,0.0,0.026146
71,0,baseline,21.4258,26.1487,21.4258,0.0,0.026273
71,1,baseline,26.3466,26.0057,26.0057,0.0,0.026373
71,2,baseline,26.2776,25.8342,25.8342,0.0,0.026304
71,3,baseline,26.7105,25.6464,25.6464,0.0,0.026739
72,0,baseline,21.311,26.2305,21.311,0.0,0.02634
72,1,baseline,26.4324,26.1705,26.1705,0.0,0.026464
72,2,baseline,26.6615,25.8765,25.8765,0.0,0.026687
72,3,baseline,26.0358,25.746,25.746,0.0,0.026067
73,0,baseline,21.2694,26.2972,21.2694,0.0,0.026409
73,1,baseline,26.2589,25.9866,25.9866,0.0,0.026286
73,2,baseline,26.3803,26.0456,26.0456,0.0,0.02659
73,3,baseline,26.7136,25.5784,25.5784,0.0,0.026751
74,0,baseline,21.4115,26.2837,21.4115,0.0,0.026396
74,1,baseline,26.3683,26.0755,26.0755,0.0,0.026446
74,2,baseline,25.9983,26.0941,25.9983,0.0,0.026399
74,3,baseline,26.3014,25.7559,25.7559,0.0,0.026331
75,0,baseline,20.9642,26.3758,20.9642,0.0,0.026501
75,1,baseline,26.0073,26.0579,26.0073,0.0,0.026166
75,2,baseline,25.6729,26.0586,25.6729,0.0,0.026193
75,3,baseline,25.9272,25.7188,25.7188,0.0,0.02608
76,0,baseline,21.3436,26.318,21.3436,0.0,0.026428
76,1,baseline,26.6635,26.0767,26.0767,0.0,0.026689
76,2,baseline,26.2437,26.0132,26.0132,0.0,0.02627
76,3,baseline,26.4305,25.8037,25.8037,0.0,0.02647
77,0,baseline,21.4536,26.3958,21.4536,0.0,0.026502
77,1,baseline,26.3151,26.1228,26.1228,0.0,0.026341
77,2,baseline,26.4554,26.2614,26.2614,0.0,0.026484
77,3,baseline,26.9045,25.6424,25.6424,0.0,0.026934
78,0,baseline,21.2839,26.3366,21.2839,0.0,0.02645
78,1,baseline,26.3023,25.8876,25.8876,0.0,0.026328
78,2,baseline,25.8654,26.015,25.8654,0.0,0.026127
78,3,baseline,25.8977,25.6737,25.6737,0.0,0.025926
79,0,baseline,21.4624,26.3255,21.4624,0.0,0.02645
79,1,baseline,26.7911,25.6795,25.6795,0.0,0.026816
79,2,baseline,26.9267,26.0065,26.0065,0.0,0.026952
79,3,baseline,26.6855,25.5917,25.5917,0.0,0.026713
80,0,baseline,21.3838,26.236,21.3838,0.0,0.026346
80,1,baseline,26.3284,26.2005,26.2005,0.0,0.026354
80,2,baseline,26.1615,25.8865,25.8865,0.0,0.026188
80,3,baseline,26.2397,25.8951,25.8951,0.0,0.026274
81,0,baseline,20.3163,26.5865,20.3163,0.0,0.0267
81,1,baseline,25.1821,26.3854,25.1821,0.0,0.026492
81,2,baseline,24.8861,26.2695,24.8861,0.0,0.026376
81,3,baseline,25.4217,26.0197,25.4217,0.0,0.026133
82,0,baseline,20.9415,26.4423,20.9415,0.0,0.026545
82,1,baseline,26.0264,26.2372,26.0264,0.0,0.026337
82,2,baseline,25.8388,26.2001,25.8388,0.0,0.026304
82,3,baseline,26.4235,25.8615,25.8615,0.0,0.02645
83,0,baseline,20.6348,26.5686,20.6348,0.0,0.026669
